Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,RHH_OPS,RHH_HR/9,RHH_SO/BB,RHH_ERA,RHH_WHIP
Jeff Brigham,16631,MIA,22.1,94,4.0299,23,2,0,11,10,5,6,1,1,23,0.26744186,0.319148936,0.465116279,0.324896921,0.784265215,2.036199095,3.833333333,4.0299,1.312217195
Josh James,16794,HOU,31,133,4.3548,25,5,1,16,15,4,14,0,3,51,0.215517241,0.315789473,0.379310344,0.302529028,0.695099817,1.161290323,3.642857143,4.3548,1.258064516
Tim Hill,16814,KCR,22.2,96,4.7647,20,4,0,13,12,4,8,2,3,28,0.238095238,0.326315789,0.428571428,0.315693583,0.754887217,1.621621622,3.5,4.7647,1.261261261
Touki Toussaint,16929,ATL,29.1,126,2.4545,21,2,0,10,8,1,17,0,4,32,0.203883495,0.338709677,0.252427184,0.279336013,0.591136861,0.309278351,1.882352941,2.4545,1.305841924
Sean Newcomb,16943,ATL,36,147,2.75,27,5,1,12,11,6,12,1,1,35,0.203007518,0.272108843,0.390977443,0.278124092,0.663086286,1.5,2.916666667,2.75,1.083333333
Raisel Iglesias,17130,CIN,39.1,162,3.4322,35,6,1,15,15,5,12,1,2,56,0.239726027,0.304347826,0.397260273,0.297245748,0.701608099,1.150895141,4.666666667,3.4322,1.202046036
Yoan Lopez,17181,ARI,37,152,3.1622,33,7,2,17,13,5,13,2,0,25,0.246268656,0.304635761,0.440298507,0.304618378,0.744934268,1.216216216,1.923076923,3.1622,1.243243243
Jalen Beeks,17192,TBR,69.2,297,3.6172,71,19,0,33,28,7,22,1,6,59,0.268939393,0.334459459,0.420454545,0.320803999,0.754914004,0.910404624,2.681818182,3.6172,1.343930636
Austin Brice,17237,MIA,27.2,117,3.253,20,2,0,11,10,4,8,1,4,31,0.192307692,0.273504273,0.326923076,0.259266378,0.600427349,1.323529412,3.875,3.253,1.029411765
Sam Coonrod,17264,SFG,20.1,74,2.6557,13,1,0,6,6,2,5,0,3,16,0.2,0.287671232,0.307692307,0.265766156,0.595363539,0.895522388,3.2,2.6557,0.895522388
Ranger Suarez,17277,PHI,31.1,137,3.4468,39,5,0,13,12,5,9,2,0,28,0.309523809,0.352941176,0.468253968,0.342027416,0.821195144,1.446945338,3.111111111,3.4468,1.54340836
Thomas Pannone,17281,TOR,30.2,138,4.6956,27,5,0,16,16,5,17,1,3,29,0.23076923,0.34057971,0.401709401,0.319464853,0.742289111,1.490066225,1.705882353,4.6956,1.456953642
Framber Valdez,17295,HOU,24,111,5.25,30,6,1,19,14,2,10,0,1,20,0.306122448,0.369369369,0.448979591,0.347675553,0.81834896,0.75,2,5.25,1.666666667
Josh Taylor,17359,BOS,27.1,117,3.622,25,4,0,12,11,3,10,1,2,37,0.240384615,0.316239316,0.365384615,0.29301102,0.681623931,0.996309963,3.7,3.622,1.291512915
Brett Martin,17369,TEX,36.1,161,4.211,42,12,0,21,17,4,10,2,1,33,0.283783783,0.329192546,0.445945945,0.322072174,0.775138491,0.997229917,3.3,4.211,1.440443213
Diego Castillo,17496,TBR,41,165,3.0732,27,5,2,17,14,4,16,1,5,46,0.190140845,0.292682926,0.338028169,0.274623986,0.630711095,0.87804878,2.875,3.0732,1.048780488
Tanner Rainey,17610,WSN,30.1,126,2.0769,14,1,1,8,7,2,19,0,4,46,0.138613861,0.298387096,0.227722772,0.252526482,0.526109868,0.598006645,2.421052632,2.0769,1.096345515
Jeffrey Springs,17677,TEX,22,101,6.5455,22,6,1,16,16,4,15,0,0,23,0.261904761,0.37,0.5,0.365072425,0.87,1.636363636,1.533333333,6.5455,1.681818182
Trey Wingenter,17793,SDP,22.2,104,5.5588,20,6,0,14,14,4,15,0,1,35,0.232558139,0.349514563,0.441860465,0.338134328,0.791375028,1.621621622,2.333333333,5.5588,1.576576577
Nestor Cortes,17874,NYY,44.1,189,4.8722,40,4,0,24,24,10,20,1,0,44,0.238095238,0.317460317,0.44047619,0.319081927,0.757936507,2.040816327,2.2,4.8722,1.360544218
